rsn,eqid,ssn,eqLat,eqLon,staLat,staLon,eqX,eqY,staX,staY,UTMzone,nerg_mu,res_tot,res_between,res_within
55,3,53,23.1941,120.507,23.28,120.4156,244.824392494564,2567.19421666612,235.632334640933,2576.77405879453,51N,-21.02592834092218,22.033603453693072,-0.4771999057868498,22.510803359479922
56,3,57,23.1941,120.507,23.31,120.3175,244.824392494564,2567.19421666612,225.6468738684,2579.89982667327,51N,-30.55591973668546,30.636965219050957,-0.4771999057868498,31.114165124837807
57,3,63,23.1941,120.507,23.12,120.2458,244.824392494564,2567.19421666612,217.930586613064,2559.85506470741,51N,-31.889252849060178,31.91881275908702,-0.4771999057868498,32.39601266487387
58,3,64,23.1941,120.507,23.07,120.519,244.824392494564,2567.19421666612,245.827986404636,2553.94310500451,51N,-22.69469665196389,23.164528771544262,-0.4771999057868498,23.641728677331113
59,3,65,23.1941,120.507,23.12,120.459,244.824392494564,2567.19421666612,239.768687123676,2559.23685783055,51N,-20.137356276768124,20.65864062047348,-0.4771999057868498,21.13584052626033
60,3,77,23.1941,120.507,23.51,120.8133,244.824392494564,2567.19421666612,276.717773125609,2601.49402336014,51N,-34.57591855428565,34.780374304197494,-0.4771999057868498,35.25757420998434
61,3,79,23.1941,120.507,23.64,120.2298,244.824392494564,2567.19421666612,217.382038315714,2616.7051633572,51N,-55.07447486843996,56.017372698446586,-0.4771999057868498,56.49457260423343
62,3,84,23.1941,120.507,23.26,120.5,244.824392494564,2567.19421666612,244.242831147198,2575.06054774482,51N,-13.039650597355894,12.73584879434671,-0.4771999057868498,13.21304870013356
63,3,85,23.1941,120.507,23.72,120.3067,244.824392494564,2567.19421666612,225.405447174995,2626.12024024444,51N,-39.888791695172,39.844946767695404,-0.4771999057868498,40.32214667348225
64,3,87,23.1941,120.507,23.73,120.464,244.824392494564,2567.19421666612,241.461700549783,2626.2870021331,51N,-40.615702697031345,40.82720498785308,-0.4771999057868498,41.304404893639926
65,3,90,23.1941,120.507,23.38,120.5298,244.824392494564,2567.19421666612,247.517869234475,2587.98738958685,51N,-22.647151138584917,23.311609010718648,-0.4771999057868498,23.7888089165055
66,3,91,23.1941,120.507,23.34,120.438,244.824392494564,2567.19421666612,238.053065152879,2583.97839671539,51N,-17.027327650656883,18.372298380097263,-0.4771999057868498,18.849498285884113
67,3,282,23.1941,120.507,23.16,120.6431,244.824392494564,2567.19421666612,258.702362206374,2563.27762786148,51N,-19.2020966119189,19.11083202805816,-0.4771999057868498,19.58803193384501
68,3,283,23.1941,120.507,22.63,120.3221,244.824392494564,2567.19421666612,224.744036493428,2504.62818490167,51N,-76.88225988823461,76.55963566155174,-0.4771999057868498,77.03683556733858
69,3,284,23.1941,120.507,22.63,120.2635,244.824392494564,2567.19421666612,218.726683794695,2505.24003902509,51N,-87.23917455141877,88.33136091184306,-0.4771999057868498,88.80856081762991
70,3,288,23.1941,120.507,22.64,120.3687,244.824392494564,2567.19421666612,229.56435193245,2506.31889283733,51N,-69.42206504780206,69.17498655260962,-0.4771999057868498,69.65218645839647
71,3,290,23.1941,120.507,22.87,120.2643,244.824392494564,2567.19421666612,219.296853771633,2531.45765374084,51N,-45.18195644116434,44.8517537013473,-0.4771999057868498,45.328953607134146
72,3,292,23.1941,120.507,22.76,120.2643,244.824392494564,2567.19421666612,219.076544095705,2519.56662257782,51N,-48.84220442562655,49.31055020881342,-0.4771999057868498,49.787750114600264
73,3,293,23.1941,120.507,22.88,120.3792,244.824392494564,2567.19421666612,231.104706296086,2532.31421990468,51N,-43.37572622927291,43.41557129590457,-0.4771999057868498,43.89277120169142
74,3,295,23.1941,120.507,22.7,120.3488,244.824392494564,2567.19421666612,227.641937978026,2512.90953908866,51N,-64.90904264509074,64.38479102612251,-0.4771999057868498,64.86199093190936
75,3,297,23.1941,120.507,22.61,120.3944,244.824392494564,2567.19421666612,232.138774296613,2502.18099137336,51N,-70.93161616711346,70.63440269649902,-0.4771999057868498,71.11160260228587
76,3,299,23.1941,120.507,22.89,120.481,244.824392494564,2567.19421666612,241.57870697716,2533.36879638682,51N,-30.720716245431298,29.75932863049246,-0.4771999057868498,30.23652853627931
77,3,300,23.1941,120.507,22.89,120.4573,244.824392494564,2567.19421666612,239.147511040849,2533.48446359229,51N,-30.62515242924289,30.18109353884671,-0.4771999057868498,30.65829344463356
78,3,301,23.1941,120.507,22.9,120.5433,244.824392494564,2567.19421666612,247.997460441147,2534.53453843425,51N,-30.313390274492164,29.73730092099997,-0.4771999057868498,30.21450082678682
79,3,310,23.1941,120.507,22.75,120.5758,244.824392494564,2567.19421666612,251.067381349506,2518.32569717794,51N,-40.878573108675376,40.343479268522515,-0.4771999057868498,40.82067917430936
80,3,335,23.1941,120.507,23.28,120.7205,244.824392494564,2567.19421666612,266.829290378218,2575.96234802375,51N,-21.977737911283782,22.150200411945153,-0.4771999057868498,22.627400317732004
81,3,613,23.1941,120.507,23.65,120.6558,244.824392494564,2567.19421666612,260.879370067451,2617.01587469154,51N,-45.18824872738363,45.94058945200715,-0.4771999057868498,46.417789357794
82,4,17,23.2135,120.5258,23.29,120.5927,246.786122129936,2569.31035010161,253.781131604724,2578.16777960202,51N,-14.44585346126971,14.539290632733834,-0.3793669667660045,14.91865759949984
83,4,18,23.2135,120.5258,23.35,120.4138,246.786122129936,2569.31035010161,235.597231062294,2584.92715876568,51N,-17.32937313418004,17.433719529823488,-0.3793669667660045,17.81308649658949
84,4,20,23.2135,120.5258,23.21,120.277,246.786122129936,2569.31035010161,221.311148933544,2569.7845482575,51N,-34.04265098709831,34.29553628031138,-0.3793669667660045,34.67490324707739
85,4,25,23.2135,120.5258,23.04,120.4697,246.786122129936,2569.31035010161,240.713161997152,2550.65116116989,51N,-27.289946544849844,27.311444067420744,-0.3793669667660045,27.690811034186748
86,4,44,23.2135,120.5258,23.44,120.6047,246.786122129936,2569.31035010161,255.276944770873,2594.10518159274,51N,-24.802396797192106,25.107481648792596,-0.3793669667660045,25.4868486155586
87,4,48,23.2135,120.5258,23.3,120.6668,246.786122129936,2569.31035010161,261.380160466933,2578.68970463368,51N,-15.484438823790663,14.441036353694333,-0.3793669667660045,14.820403320460338
88,4,52,23.2135,120.5258,23.37,120.3667,246.786122129936,2569.31035010161,230.798640073427,2586.43607411205,51N,-16.763839983418908,16.952087067383275,-0.3793669667660045,17.331454034149278
89,4,53,23.2135,120.5258,23.28,120.4156,246.786122129936,2569.31035010161,235.632334640933,2576.77405879453,51N,-20.192579669352327,21.198199119950598,-0.3793669667660045,21.5775660867166
90,4,57,23.2135,120.5258,23.31,120.3175,246.786122129936,2569.31035010161,225.6468738684,2579.89982667327,51N,-30.187853207630432,30.359100472077124,-0.3793669667660045,30.738467438843127
91,4,64,23.2135,120.5258,23.07,120.519,246.786122129936,2569.31035010161,245.827986404636,2553.94310500451,51N,-23.263209557837882,22.7586032444905,-0.3793669667660045,23.137970211256505
92,4,65,23.2135,120.5258,23.12,120.459,246.786122129936,2569.31035010161,239.768687123676,2559.23685783055,51N,-20.803942716477327,20.865062418902355,-0.3793669667660045,21.244429385668358
93,4,84,23.2135,120.5258,23.26,120.5,246.786122129936,2569.31035010161,244.242831147198,2575.06054774482,51N,-11.66367545069099,10.63189217193763,-0.3793669667660045,11.011259138703634
94,4,90,23.2135,120.5258,23.38,120.5298,246.786122129936,2569.31035010161,247.517869234475,2587.98738958685,51N,-19.906863495438824,19.221006614576947,-0.3793669667660045,19.60037358134295
95,4,91,23.2135,120.5258,23.34,120.438,246.786122129936,2569.31035010161,238.053065152879,2583.97839671539,51N,-15.569436633924768,15.49676039097259,-0.3793669667660045,15.876127357738595
96,5,17,23.2032,120.525,23.29,120.5927,246.68477848014,2568.17076952359,253.781131604724,2578.16777960202,51N,-16.641380541070777,16.390332994017385,-0.2647629054417027,16.655095899459088
97,5,21,23.2032,120.525,23.22,120.4003,246.68477848014,2568.17076952359,233.957525536643,2570.53173821797,51N,-20.63268487470483,21.32313207771078,-0.2647629054417027,21.587894983152484
98,5,53,23.2032,120.525,23.28,120.4156,246.68477848014,2568.17076952359,235.632334640933,2576.77405879453,51N,-22.205211907241626,22.499317330226837,-0.2647629054417027,22.76408023566854
99,5,64,23.2032,120.525,23.07,120.519,246.68477848014,2568.17076952359,245.827986404636,2553.94310500451,51N,-24.141576020566216,23.504634570794355,-0.2647629054417027,23.76939747623606
100,5,65,23.2032,120.525,23.12,120.459,246.68477848014,2568.17076952359,239.768687123676,2559.23685783055,51N,-22.036399925268775,21.086983557244228,-0.2647629054417027,21.35174646268593
101,5,91,23.2032,120.525,23.34,120.438,246.68477848014,2568.17076952359,238.053065152879,2583.97839671539,51N,-17.705296267268864,18.059653047415107,-0.2647629054417027,18.32441595285681
102,6,17,23.2103,120.5142,23.29,120.5927,245.592377019071,2568.97614566989,253.781131604724,2578.16777960202,51N,-15.267203211556488,15.45395118050981,-0.060776261961975976,15.514727442471786
103,6,18,23.2103,120.5142,23.35,120.4138,245.592377019071,2568.97614566989,235.597231062294,2584.92715876568,51N,-17.322612389627018,17.270251620985547,-0.060776261961975976,17.331027882947524
104,6,20,23.2103,120.5142,23.21,120.277,245.592377019071,2568.97614566989,221.311148933544,2569.7845482575,51N,-32.91256116021507,32.99666007971547,-0.060776261961975976,33.057436341677445
105,6,21,23.2103,120.5142,23.22,120.4003,245.592377019071,2568.97614566989,233.957525536643,2570.53173821797,51N,-18.539766515316963,19.407025142829596,-0.060776261961975976,19.467801404791572
106,6,25,23.2103,120.5142,23.04,120.4697,245.592377019071,2568.97614566989,240.713161997152,2550.65116116989,51N,-26.826539742023645,27.441469496793953,-0.060776261961975976,27.50224575875593
107,6,48,23.2103,120.5142,23.3,120.6668,245.592377019071,2568.97614566989,261.380160466933,2578.68970463368,51N,-16.581959111298207,15.729069132615995,-0.060776261961975976,15.789845394577972
108,6,53,23.2103,120.5142,23.28,120.4156,245.592377019071,2568.97614566989,235.632334640933,2576.77405879453,51N,-19.94379933040597,20.741689504548063,-0.060776261961975976,20.80246576651004
109,6,57,23.2103,120.5142,23.31,120.3175,245.592377019071,2568.97614566989,225.6468738684,2579.89982667327,51N,-29.458078577744168,29.279126077840026,-0.060776261961975976,29.339902339802002
110,6,64,23.2103,120.5142,23.07,120.519,245.592377019071,2568.97614566989,245.827986404636,2553.94310500451,51N,-23.23394525113976,23.590682396604123,-0.060776261961975976,23.6514586585661
111,6,65,23.2103,120.5142,23.12,120.459,245.592377019071,2568.97614566989,239.768687123676,2559.23685783055,51N,-20.45985995744,20.688275281225863,-0.060776261961975976,20.74905154318784
112,6,90,23.2103,120.5142,23.38,120.5298,245.592377019071,2568.97614566989,247.517869234475,2587.98738958685,51N,-20.235349488417988,19.4903309896553,-0.060776261961975976,19.551107251617275
113,6,91,23.2103,120.5142,23.34,120.438,245.592377019071,2568.97614566989,238.053065152879,2583.97839671539,51N,-14.672027996749174,14.796151676471046,-0.060776261961975976,14.856927938433023
114,6,335,23.2103,120.5142,23.28,120.7205,245.592377019071,2568.97614566989,266.829290378218,2575.96234802375,51N,-19.879492554377965,18.704576172260413,-0.060776261961975976,18.76535243422239
115,7,64,22.9763,120.681,23.07,120.519,262.258427572682,2542.77493726269,245.827986404636,2553.94310500451,51N,-33.0333427639201,32.58356097750431,-0.5445004395453831,33.12806141704969
116,7,65,22.9763,120.681,23.12,120.459,262.258427572682,2542.77493726269,239.768687123676,2559.23685783055,51N,-44.053568094299564,43.71912312504495,-0.5445004395453831,44.26362356459033
117,7,66,22.9763,120.681,23.03,120.3495,262.258427572682,2542.77493726269,228.35672682205,2548.83831827049,51N,-34.82643974795083,34.74283541214768,-0.5445004395453831,35.28733585169306
118,7,68,22.9763,120.681,22.9,120.3517,262.258427572682,2542.77493726269,228.335973571025,2535.3742750349,51N,-28.406055146709072,27.451971936820076,-0.5445004395453831,27.99647237636546
119,7,293,22.9763,120.681,22.88,120.3792,262.258427572682,2542.77493726269,231.104706296086,2532.31421990468,51N,-30.382901018827425,29.407418687135205,-0.5445004395453831,29.95191912668059
120,7,300,22.9763,120.681,22.89,120.4573,262.258427572682,2542.77493726269,239.147511040849,2533.48446359229,51N,-21.63024292898071,20.631549989988137,-0.5445004395453831,21.17605042953352
121,7,301,22.9763,120.681,22.9,120.5433,262.258427572682,2542.77493726269,247.997460441147,2534.53453843425,51N,-24.650039432246572,24.427111688371312,-0.5445004395453831,24.971612127916696
122,7,309,22.9763,120.681,22.83,120.5992,262.258427572682,2542.77493726269,253.593948889836,2526.26173799489,51N,-33.44268591275076,32.861510980157234,-0.5445004395453831,33.406011419702615
123,8,4,23.5158,120.4348,23.7,120.249,238.06380116215,2602.9611922587,219.484548151623,2624.23842011589,51N,-22.059422154825626,22.337568577709625,0.2689031476518221,22.068665430057802
124,8,6,23.5158,120.4348,23.71,120.5385,238.06380116215,2602.9611922587,249.037014077006,2624.82422562571,51N,-9.186734980824692,9.376014169954882,0.2689031476518221,9.10711102230306
125,8,7,23.5158,120.4348,23.6,120.1795,238.06380116215,2602.9611922587,212.163931064656,2612.74307115743,51N,-36.276971317525884,35.591979306489876,0.2689031476518221,35.323076158838056
126,8,8,23.5158,120.4348,23.61,120.4217,238.06380116215,2602.9611922587,236.909979811883,2613.42113484553,51N,-10.715896012407915,11.003250739683908,0.2689031476518221,10.734347592032087
127,8,9,23.5158,120.4348,23.58,120.5602,238.06380116215,2602.9611922587,250.990737657192,2609.79430803052,51N,-7.58734273681869,8.027208170566935,0.2689031476518221,7.7583050229151125
128,8,10,23.5158,120.4348,23.47,120.1735,238.06380116215,2602.9611922587,211.271091563921,2598.54326179267,51N,-46.954047000640216,47.08861946116484,0.2689031476518221,46.81971631351302
129,8,11,23.5158,120.4348,23.48,120.2775,238.06380116215,2602.9611922587,221.926111931305,2599.69714608361,51N,-20.153906586420995,20.375610323141263,0.2689031476518221,20.10670717548944
130,8,15,23.5158,120.4348,23.33,120.1598,238.06380116215,2602.9611922587,209.566639305405,2582.95919802158,51N,-28.825185033908113,28.796461235762546,0.2689031476518221,28.527558088110723
131,8,16,23.5158,120.4348,23.36,120.2738,238.06380116215,2602.9611922587,221.28405659463,2585.5782755478,51N,-10.331555288826662,11.019883038569406,0.2689031476518221,10.750979890917584
132,8,27,23.5158,120.4348,23.76,120.6157,238.06380116215,2602.9611922587,256.982901424657,2629.17668618989,51N,-16.162723048589804,16.122691848436986,0.2689031476518221,15.853788700785165
133,8,28,23.5158,120.4348,23.78,120.5228,238.06380116215,2602.9611922587,247.559657372149,2631.77573429644,51N,-12.804392680586485,12.502103189557328,0.2689031476518221,12.233200041905507
134,8,29,23.5158,120.4348,23.8,120.4195,238.06380116215,2602.9611922587,237.063136166893,2634.08675177821,51N,-23.390054747984756,24.07115640855867,0.2689031476518221,23.80225326090685
135,8,30,23.5158,120.4348,23.75,120.2543,238.06380116215,2602.9611922587,220.127732133577,2629.36149430564,51N,-24.6560698517028,24.930609677307196,0.2689031476518221,24.661706529655373
136,8,31,23.5158,120.4348,23.63,120.6157,238.06380116215,2602.9611922587,256.752141996993,2615.38521361911,51N,-8.099262684367527,9.928243262973718,0.2689031476518221,9.659340115321896
137,8,32,23.5158,120.4348,23.61,120.5373,238.06380116215,2602.9611922587,248.72232561435,2613.48990894129,51N,-8.4070302181411,9.088833584875323,0.2689031476518221,8.819930437223501
138,8,33,23.5158,120.4348,23.64,120.4838,238.06380116215,2602.9611922587,243.318647130486,2616.85306873381,51N,-6.586044086997179,7.539516119992237,0.2689031476518221,7.270612972340415
139,8,34,23.5158,120.4348,23.66,120.3498,238.06380116215,2602.9611922587,229.674318214781,2618.8177455823,51N,-11.819830932571232,12.482640514799806,0.2689031476518221,12.213737367147985
140,8,36,23.5158,120.4348,23.54,120.2253,238.06380116215,2602.9611922587,216.713907095483,2605.94831702826,51N,-33.15820948363863,32.75475709863538,0.2689031476518221,32.48585395098356
141,8,38,23.5158,120.4348,23.52,120.5917,238.06380116215,2602.9611922587,254.093693790749,2603.0010608122,51N,-10.772284181130331,11.831579663708531,0.2689031476518221,11.56267651605671
142,8,39,23.5158,120.4348,23.61,120.488,238.06380116215,2602.9611922587,243.672151367839,2612.76513780093,51N,-5.7808355434647005,6.040505988861167,0.2689031476518221,5.7716028412093445
143,8,40,23.5158,120.4348,23.55,120.4292,238.06380116215,2602.9611922587,237.565176883194,2607.25882061375,51N,-8.870142592704198,8.345093772162802,0.2689031476518221,8.07619062451098
144,8,42,23.5158,120.4348,23.52,120.3512,238.06380116215,2602.9611922587,229.526999327804,2603.50786952081,51N,-7.623722461799023,8.429752689490492,0.2689031476518221,8.16084954183867
145,8,43,23.5158,120.4348,23.42,120.6419,238.06380116215,2602.9611922587,259.053395455573,2592.46680572155,51N,-14.678526204973052,13.874104638839595,0.2689031476518221,13.605201491187774
146,8,45,23.5158,120.4348,23.36,120.5918,238.06380116215,2602.9611922587,253.809920914971,2585.01859270184,51N,-15.38956777713503,16.329001711550166,0.2689031476518221,16.060098563898343
147,8,46,23.5158,120.4348,23.4,120.3363,238.06380116215,2602.9611922587,227.776646936012,2590.85063966935,51N,-5.932195938910915,5.725285862044457,0.2689031476518221,5.4563827143926344
148,8,47,23.5158,120.4348,23.38,120.1722,238.06380116215,2602.9611922587,210.938477397671,2588.54821552565,51N,-27.842593244088278,27.756043063237225,0.2689031476518221,27.487139915585402
149,8,48,23.5158,120.4348,23.3,120.6668,238.06380116215,2602.9611922587,261.380160466933,2578.68970463368,51N,-22.492939469680895,23.353895970600238,0.2689031476518221,23.084992822948415
150,8,49,23.5158,120.4348,23.48,120.4713,238.06380116215,2602.9611922587,241.717016564104,2598.41202403386,51N,-4.862771773300665,5.452704229870172,0.2689031476518221,5.183801082218349
